setup,lambda,m,RG_cap_final,RG_ret_acum
rollout+phist,0.3,0.1,7938.354166555418,-0.2061645833444582
rollout+psign,0.3,0.5,12779.059849027026,0.2779059849027026
scenarios+psign,0.3,0.1,12779.061688606,0.27790616886059993
OPT_base,1.0,1.0,14522.315835130237,0.4522315835130237
Naive_rb,,,12091.594389139935,0.20915943891399347
Naive_bh,,,12258.459730122508,0.22584597301225084
