lambda,m,asset,t,p_bull
0.3,0.5,SPX,60,0.4000000059604645
0.3,0.5,SPX,61,0.4000000059604645
0.3,0.5,SPX,62,0.4000000059604645
0.3,0.5,SPX,63,0.4000000059604645
0.3,0.5,SPX,64,0.4000000059604645
0.3,0.5,SPX,65,0.4000000059604645
0.3,0.5,SPX,66,0.4000000059604645
0.3,0.5,SPX,67,0.4000000059604645
0.3,0.5,SPX,68,0.4000000059604645
0.3,0.5,SPX,69,0.4000000059604645
0.3,0.5,SPX,70,0.4000000059604645
0.3,0.5,SPX,71,0.4000000059604645
0.3,0.5,SPX,72,0.4000000059604645
0.3,0.5,SPX,73,0.4000000059604645
0.3,0.5,SPX,74,0.4000000059604645
0.3,0.5,SPX,75,0.4000000059604645
0.3,0.5,SPX,76,0.4000000059604645
0.3,0.5,SPX,77,0.6000000238418579
0.3,0.5,SPX,78,0.4000000059604645
0.3,0.5,SPX,79,0.4000000059604645
0.3,0.5,SPX,80,0.4000000059604645
0.3,0.5,SPX,81,0.4000000059604645
0.3,0.5,SPX,82,0.4000000059604645
0.3,0.5,SPX,83,0.4000000059604645
0.3,0.5,SPX,84,0.4000000059604645
0.3,0.5,SPX,85,0.4000000059604645
0.3,0.5,SPX,86,0.4000000059604645
0.3,0.5,SPX,87,0.4000000059604645
0.3,0.5,SPX,88,0.4000000059604645
0.3,0.5,SPX,89,0.4000000059604645
0.3,0.5,SPX,90,0.4000000059604645
0.3,0.5,SPX,91,0.4000000059604645
0.3,0.5,SPX,92,0.4000000059604645
0.3,0.5,SPX,93,0.4000000059604645
0.3,0.5,SPX,94,0.4000000059604645
0.3,0.5,SPX,95,0.4000000059604645
0.3,0.5,SPX,96,0.4000000059604645
0.3,0.5,SPX,97,0.4000000059604645
0.3,0.5,SPX,98,0.4000000059604645
0.3,0.5,SPX,99,0.4000000059604645
0.3,0.5,SPX,100,0.4000000059604645
0.3,0.5,SPX,101,0.4000000059604645
0.3,0.5,SPX,102,0.4000000059604645
0.3,0.5,SPX,103,0.4000000059604645
0.3,0.5,SPX,104,0.4000000059604645
0.3,0.5,SPX,105,0.4000000059604645
0.3,0.5,SPX,106,0.4000000059604645
0.3,0.5,SPX,107,0.6000000238418579
0.3,0.5,SPX,108,0.6000000238418579
0.3,0.5,SPX,109,0.4000000059604645
0.3,0.5,SPX,110,0.4000000059604645
0.3,0.5,SPX,111,0.4000000059604645
0.3,0.5,SPX,112,0.4000000059604645
0.3,0.5,SPX,113,0.4000000059604645
0.3,0.5,SPX,114,0.4000000059604645
0.3,0.5,SPX,115,0.4000000059604645
0.3,0.5,SPX,116,0.800000011920929
0.3,0.5,SPX,117,0.4000000059604645
0.3,0.5,SPX,118,0.4000000059604645
0.3,0.5,SPX,119,0.4000000059604645
0.3,0.5,SPX,120,0.4000000059604645
0.3,0.5,SPX,121,0.4000000059604645
0.3,0.5,SPX,122,0.4000000059604645
0.3,0.5,SPX,123,0.4000000059604645
0.3,0.5,SPX,124,0.4000000059604645
0.3,0.5,SPX,125,0.4000000059604645
0.3,0.5,SPX,126,0.4000000059604645
0.3,0.5,SPX,127,0.4000000059604645
0.3,0.5,SPX,128,0.4000000059604645
0.3,0.5,SPX,129,0.4000000059604645
0.3,0.5,SPX,130,0.4000000059604645
0.3,0.5,SPX,131,0.4000000059604645
0.3,0.5,SPX,132,0.4000000059604645
0.3,0.5,SPX,133,0.4000000059604645
0.3,0.5,SPX,134,0.4000000059604645
0.3,0.5,SPX,135,0.4000000059604645
0.3,0.5,SPX,136,0.4000000059604645
0.3,0.5,SPX,137,0.4000000059604645
0.3,0.5,SPX,138,0.4000000059604645
0.3,0.5,SPX,139,0.4000000059604645
0.3,0.5,SPX,140,0.4000000059604645
0.3,0.5,SPX,141,0.4000000059604645
0.3,0.5,SPX,142,0.4000000059604645
0.3,0.5,SPX,143,0.4000000059604645
0.3,0.5,SPX,144,0.4000000059604645
0.3,0.5,SPX,145,0.4000000059604645
0.3,0.5,SPX,146,0.4000000059604645
0.3,0.5,SPX,147,0.4000000059604645
0.3,0.5,SPX,148,0.4000000059604645
0.3,0.5,SPX,149,0.4000000059604645
0.3,0.5,SPX,150,0.4000000059604645
0.3,0.5,SPX,151,0.4000000059604645
0.3,0.5,SPX,152,0.4000000059604645
0.3,0.5,SPX,153,0.4000000059604645
0.3,0.5,SPX,154,0.4000000059604645
0.3,0.5,SPX,155,0.4000000059604645
0.3,0.5,SPX,156,0.4000000059604645
0.3,0.5,SPX,157,0.4000000059604645
0.3,0.5,SPX,158,0.4000000059604645
0.3,0.5,SPX,159,0.4000000059604645
0.3,0.5,SPX,160,0.4000000059604645
0.3,0.5,SPX,161,0.4000000059604645
0.3,0.5,SPX,162,0.4000000059604645
0.3,0.5,SPX,163,0.4000000059604645
0.3,0.5,CMC200,1,0.4000000059604645
0.3,0.5,CMC200,2,0.4000000059604645
0.3,0.5,CMC200,3,0.4000000059604645
0.3,0.5,CMC200,4,0.4000000059604645
0.3,0.5,CMC200,5,0.4000000059604645
0.3,0.5,CMC200,6,0.4000000059604645
0.3,0.5,CMC200,7,0.4000000059604645
0.3,0.5,CMC200,8,0.4000000059604645
0.3,0.5,CMC200,9,0.4000000059604645
0.3,0.5,CMC200,10,0.4000000059604645
0.3,0.5,CMC200,11,0.4000000059604645
0.3,0.5,CMC200,12,0.4000000059604645
0.3,0.5,CMC200,13,0.4000000059604645
0.3,0.5,CMC200,14,0.4000000059604645
0.3,0.5,CMC200,15,0.4000000059604645
0.3,0.5,CMC200,16,0.4000000059604645
0.3,0.5,CMC200,17,0.4000000059604645
0.3,0.5,CMC200,18,0.4000000059604645
0.3,0.5,CMC200,19,0.4000000059604645
0.3,0.5,CMC200,20,0.4000000059604645
0.3,0.5,CMC200,21,0.4000000059604645
0.3,0.5,CMC200,22,0.4000000059604645
0.3,0.5,CMC200,23,0.4000000059604645
0.3,0.5,CMC200,24,0.4000000059604645
0.3,0.5,CMC200,25,0.4000000059604645
0.3,0.5,CMC200,26,0.4000000059604645
0.3,0.5,CMC200,27,0.4000000059604645
0.3,0.5,CMC200,28,0.4000000059604645
0.3,0.5,CMC200,29,0.4000000059604645
0.3,0.5,CMC200,30,0.4000000059604645
0.3,0.5,CMC200,31,0.4000000059604645
0.3,0.5,CMC200,32,0.4000000059604645
0.3,0.5,CMC200,33,0.4000000059604645
0.3,0.5,CMC200,34,0.4000000059604645
0.3,0.5,CMC200,35,0.4000000059604645
0.3,0.5,CMC200,36,0.4000000059604645
0.3,0.5,CMC200,37,0.4000000059604645
0.3,0.5,CMC200,38,0.4000000059604645
0.3,0.5,CMC200,39,0.4000000059604645
0.3,0.5,CMC200,40,0.4000000059604645
0.3,0.5,CMC200,41,0.4000000059604645
0.3,0.5,CMC200,42,0.4000000059604645
0.3,0.5,CMC200,43,0.4000000059604645
0.3,0.5,CMC200,44,0.4000000059604645
0.3,0.5,CMC200,45,0.4000000059604645
0.3,0.5,CMC200,46,0.4000000059604645
0.3,0.5,CMC200,47,0.4000000059604645
0.3,0.5,CMC200,48,0.4000000059604645
0.3,0.5,CMC200,49,0.4000000059604645
0.3,0.5,CMC200,50,0.4000000059604645
0.3,0.5,CMC200,51,0.4000000059604645
0.3,0.5,CMC200,52,0.4000000059604645
0.3,0.5,CMC200,53,0.4000000059604645
0.3,0.5,CMC200,54,0.4000000059604645
0.3,0.5,CMC200,55,0.4000000059604645
0.3,0.5,CMC200,56,0.4000000059604645
0.3,0.5,CMC200,57,0.4000000059604645
0.3,0.5,CMC200,58,0.4000000059604645
0.3,0.5,CMC200,59,0.4000000059604645
0.3,0.5,CMC200,60,0.4000000059604645
0.3,0.5,CMC200,61,0.4000000059604645
0.3,0.5,CMC200,62,0.4000000059604645
0.3,0.5,CMC200,63,0.4000000059604645
0.3,0.5,CMC200,64,0.6000000238418579
0.3,0.5,CMC200,65,0.6000000238418579
0.3,0.5,CMC200,66,0.6000000238418579
0.3,0.5,CMC200,67,0.4000000059604645
0.3,0.5,CMC200,68,0.4000000059604645
0.3,0.5,CMC200,69,0.4000000059604645
0.3,0.5,CMC200,70,0.4000000059604645
0.3,0.5,CMC200,71,0.4000000059604645
0.3,0.5,CMC200,72,0.4000000059604645
0.3,0.5,CMC200,73,0.4000000059604645
0.3,0.5,CMC200,74,0.4000000059604645
0.3,0.5,CMC200,75,0.4000000059604645
0.3,0.5,CMC200,76,0.4000000059604645
0.3,0.5,CMC200,77,0.4000000059604645
0.3,0.5,CMC200,78,0.4000000059604645
0.3,0.5,CMC200,79,0.4000000059604645
0.3,0.5,CMC200,80,0.6000000238418579
0.3,0.5,CMC200,81,0.4000000059604645
0.3,0.5,CMC200,82,0.6000000238418579
0.3,0.5,CMC200,83,0.6000000238418579
0.3,0.5,CMC200,84,0.6000000238418579
0.3,0.5,CMC200,85,0.6000000238418579
0.3,0.5,CMC200,86,0.4000000059604645
0.3,0.5,CMC200,87,0.4000000059604645
0.3,0.5,CMC200,88,0.4000000059604645
0.3,0.5,CMC200,89,0.6000000238418579
0.3,0.5,CMC200,90,0.4000000059604645
0.3,0.5,CMC200,91,0.4000000059604645
0.3,0.5,CMC200,92,0.4000000059604645
0.3,0.5,CMC200,93,0.4000000059604645
0.3,0.5,CMC200,94,0.4000000059604645
0.3,0.5,CMC200,95,0.4000000059604645
0.3,0.5,CMC200,96,0.6000000238418579
0.3,0.5,CMC200,97,0.6000000238418579
0.3,0.5,CMC200,98,0.4000000059604645
0.3,0.5,CMC200,99,0.4000000059604645
0.3,0.5,CMC200,100,0.4000000059604645
0.3,0.5,CMC200,101,0.4000000059604645
0.3,0.5,CMC200,102,0.4000000059604645
0.3,0.5,CMC200,103,0.4000000059604645
0.3,0.5,CMC200,104,0.4000000059604645
0.3,0.5,CMC200,105,0.4000000059604645
0.3,0.5,CMC200,106,0.4000000059604645
0.3,0.5,CMC200,107,0.6000000238418579
0.3,0.5,CMC200,108,0.6000000238418579
0.3,0.5,CMC200,109,0.6000000238418579
0.3,0.5,CMC200,110,0.6000000238418579
0.3,0.5,CMC200,111,0.4000000059604645
0.3,0.5,CMC200,112,0.6000000238418579
0.3,0.5,CMC200,113,0.4000000059604645
0.3,0.5,CMC200,114,0.4000000059604645
0.3,0.5,CMC200,115,0.4000000059604645
0.3,0.5,CMC200,116,0.6000000238418579
0.3,0.5,CMC200,117,0.6000000238418579
0.3,0.5,CMC200,118,0.6000000238418579
0.3,0.5,CMC200,119,0.6000000238418579
0.3,0.5,CMC200,120,0.6000000238418579
0.3,0.5,CMC200,121,0.4000000059604645
0.3,0.5,CMC200,122,0.6000000238418579
0.3,0.5,CMC200,123,0.6000000238418579
0.3,0.5,CMC200,124,0.4000000059604645
0.3,0.5,CMC200,125,0.4000000059604645
0.3,0.5,CMC200,126,0.4000000059604645
0.3,0.5,CMC200,127,0.4000000059604645
0.3,0.5,CMC200,128,0.4000000059604645
0.3,0.5,CMC200,129,0.4000000059604645
0.3,0.5,CMC200,130,0.6000000238418579
0.3,0.5,CMC200,131,0.6000000238418579
0.3,0.5,CMC200,132,0.4000000059604645
0.3,0.5,CMC200,133,0.4000000059604645
0.3,0.5,CMC200,134,0.4000000059604645
0.3,0.5,CMC200,135,0.4000000059604645
0.3,0.5,CMC200,136,0.4000000059604645
0.3,0.5,CMC200,137,0.4000000059604645
0.3,0.5,CMC200,138,0.4000000059604645
0.3,0.5,CMC200,139,0.4000000059604645
0.3,0.5,CMC200,140,0.4000000059604645
0.3,0.5,CMC200,141,0.4000000059604645
0.3,0.5,CMC200,142,0.4000000059604645
0.3,0.5,CMC200,143,0.4000000059604645
0.3,0.5,CMC200,144,0.4000000059604645
0.3,0.5,CMC200,145,0.4000000059604645
0.3,0.5,CMC200,146,0.4000000059604645
0.3,0.5,CMC200,147,0.6000000238418579
0.3,0.5,CMC200,148,0.6000000238418579
0.3,0.5,CMC200,149,0.6000000238418579
0.3,0.5,CMC200,150,0.6000000238418579
0.3,0.5,CMC200,151,0.6000000238418579
0.3,0.5,CMC200,152,0.6000000238418579
0.3,0.5,CMC200,153,0.6000000238418579
0.3,0.5,CMC200,154,0.6000000238418579
0.3,0.5,CMC200,155,0.6000000238418579
0.3,0.5,CMC200,156,0.6000000238418579
0.3,0.5,CMC200,157,0.4000000059604645
0.3,0.5,CMC200,158,0.4000000059604645
0.3,0.5,CMC200,159,0.4000000059604645
0.3,0.5,CMC200,160,0.4000000059604645
0.3,0.5,CMC200,161,0.4000000059604645
0.3,0.5,CMC200,162,0.4000000059604645
0.3,0.5,CMC200,163,0.6000000238418579
0.7,0.01,SPX,1,0.4000000059604645
0.7,0.01,SPX,2,0.4000000059604645
0.7,0.01,SPX,3,0.4000000059604645
0.7,0.01,SPX,4,0.4000000059604645
0.7,0.01,SPX,5,0.4000000059604645
0.7,0.01,SPX,6,0.4000000059604645
0.7,0.01,SPX,7,0.4000000059604645
0.7,0.01,SPX,8,0.4000000059604645
0.7,0.01,SPX,9,0.4000000059604645
0.7,0.01,SPX,10,0.4000000059604645
0.7,0.01,SPX,11,0.4000000059604645
0.7,0.01,SPX,12,0.4000000059604645
0.7,0.01,SPX,13,0.4000000059604645
0.7,0.01,SPX,14,0.4000000059604645
0.7,0.01,SPX,15,0.4000000059604645
0.7,0.01,SPX,16,0.4000000059604645
0.7,0.01,SPX,17,0.4000000059604645
0.7,0.01,SPX,18,0.4000000059604645
0.7,0.01,SPX,19,0.4000000059604645
0.7,0.01,SPX,20,0.4000000059604645
0.7,0.01,SPX,21,0.4000000059604645
0.7,0.01,SPX,22,0.4000000059604645
0.7,0.01,SPX,23,0.4000000059604645
0.7,0.01,SPX,24,0.4000000059604645
0.7,0.01,SPX,25,0.4000000059604645
0.7,0.01,SPX,26,0.4000000059604645
0.7,0.01,SPX,27,0.4000000059604645
0.7,0.01,SPX,28,0.4000000059604645
0.7,0.01,SPX,29,0.4000000059604645
0.7,0.01,SPX,30,0.4000000059604645
0.7,0.01,SPX,31,0.4000000059604645
0.7,0.01,SPX,32,0.4000000059604645
0.7,0.01,SPX,33,0.4000000059604645
0.7,0.01,SPX,34,0.4000000059604645
0.7,0.01,SPX,35,0.4000000059604645
0.7,0.01,SPX,36,0.4000000059604645
0.7,0.01,SPX,37,0.4000000059604645
0.7,0.01,SPX,38,0.4000000059604645
0.7,0.01,SPX,39,0.4000000059604645
0.7,0.01,SPX,40,0.4000000059604645
0.7,0.01,SPX,41,0.4000000059604645
0.7,0.01,SPX,42,0.4000000059604645
0.7,0.01,SPX,43,0.4000000059604645
0.7,0.01,SPX,44,0.4000000059604645
0.7,0.01,SPX,45,0.4000000059604645
0.7,0.01,SPX,46,0.4000000059604645
0.7,0.01,SPX,47,0.4000000059604645
0.7,0.01,SPX,48,0.4000000059604645
0.7,0.01,SPX,49,0.4000000059604645
0.7,0.01,SPX,50,0.4000000059604645
0.7,0.01,SPX,51,0.4000000059604645
0.7,0.01,SPX,52,0.4000000059604645
0.7,0.01,SPX,53,0.4000000059604645
0.7,0.01,SPX,54,0.4000000059604645
0.7,0.01,SPX,55,0.4000000059604645
0.7,0.01,SPX,56,0.4000000059604645
0.7,0.01,SPX,57,0.4000000059604645
0.7,0.01,SPX,58,0.4000000059604645
0.7,0.01,SPX,59,0.4000000059604645
0.7,0.01,SPX,60,0.4000000059604645
0.7,0.01,SPX,61,0.4000000059604645
0.7,0.01,SPX,62,0.4000000059604645
0.7,0.01,SPX,63,0.4000000059604645
0.7,0.01,SPX,64,0.6000000238418579
0.7,0.01,SPX,65,0.6000000238418579
0.7,0.01,SPX,66,0.6000000238418579
0.7,0.01,SPX,67,0.4000000059604645
0.7,0.01,SPX,68,0.4000000059604645
0.7,0.01,SPX,69,0.4000000059604645
0.7,0.01,SPX,70,0.4000000059604645
0.7,0.01,SPX,71,0.4000000059604645
0.7,0.01,SPX,72,0.4000000059604645
0.7,0.01,SPX,73,0.4000000059604645
0.7,0.01,SPX,74,0.6000000238418579
0.7,0.01,SPX,75,0.6000000238418579
0.7,0.01,SPX,76,0.4000000059604645
0.7,0.01,SPX,77,0.800000011920929
0.7,0.01,SPX,78,0.4000000059604645
0.7,0.01,SPX,79,0.4000000059604645
0.7,0.01,SPX,80,0.6000000238418579
0.7,0.01,SPX,81,0.6000000238418579
0.7,0.01,SPX,82,0.6000000238418579
0.7,0.01,SPX,83,0.6000000238418579
0.7,0.01,SPX,84,0.6000000238418579
0.7,0.01,SPX,85,0.6000000238418579
0.7,0.01,SPX,86,0.6000000238418579
0.7,0.01,SPX,87,0.4000000059604645
0.7,0.01,SPX,88,0.4000000059604645
0.7,0.01,SPX,89,0.4000000059604645
0.7,0.01,SPX,90,0.4000000059604645
0.7,0.01,SPX,91,0.4000000059604645
0.7,0.01,SPX,92,0.4000000059604645
0.7,0.01,SPX,93,0.4000000059604645
0.7,0.01,SPX,94,0.4000000059604645
0.7,0.01,SPX,95,0.6000000238418579
0.7,0.01,SPX,96,0.6000000238418579
0.7,0.01,SPX,97,0.6000000238418579
0.7,0.01,SPX,98,0.6000000238418579
0.7,0.01,SPX,99,0.4000000059604645
0.7,0.01,SPX,100,0.4000000059604645
0.7,0.01,SPX,101,0.6000000238418579
0.7,0.01,SPX,102,0.4000000059604645
0.7,0.01,SPX,103,0.4000000059604645
0.7,0.01,SPX,104,0.4000000059604645
0.7,0.01,SPX,105,0.4000000059604645
0.7,0.01,SPX,106,0.4000000059604645
0.7,0.01,SPX,107,0.6000000238418579
0.7,0.01,SPX,108,0.6000000238418579
0.7,0.01,SPX,109,0.6000000238418579
0.7,0.01,SPX,110,0.6000000238418579
0.7,0.01,SPX,111,0.4000000059604645
0.7,0.01,SPX,112,0.6000000238418579
0.7,0.01,SPX,113,0.4000000059604645
0.7,0.01,SPX,114,0.4000000059604645
0.7,0.01,SPX,115,0.4000000059604645
0.7,0.01,SPX,116,0.6000000238418579
0.7,0.01,SPX,117,0.6000000238418579
0.7,0.01,SPX,118,0.6000000238418579
0.7,0.01,SPX,119,0.6000000238418579
0.7,0.01,SPX,120,0.6000000238418579
0.7,0.01,SPX,121,0.4000000059604645
0.7,0.01,SPX,122,0.6000000238418579
0.7,0.01,SPX,123,0.6000000238418579
0.7,0.01,SPX,124,0.4000000059604645
0.7,0.01,SPX,125,0.4000000059604645
0.7,0.01,SPX,126,0.4000000059604645
0.7,0.01,SPX,127,0.6000000238418579
0.7,0.01,SPX,128,0.4000000059604645
0.7,0.01,SPX,129,0.6000000238418579
0.7,0.01,SPX,130,0.6000000238418579
0.7,0.01,SPX,131,0.6000000238418579
0.7,0.01,SPX,132,0.4000000059604645
0.7,0.01,SPX,133,0.6000000238418579
0.7,0.01,SPX,134,0.4000000059604645
0.7,0.01,SPX,135,0.4000000059604645
0.7,0.01,SPX,136,0.4000000059604645
0.7,0.01,SPX,137,0.4000000059604645
0.7,0.01,SPX,138,0.4000000059604645
0.7,0.01,SPX,139,0.4000000059604645
0.7,0.01,SPX,140,0.4000000059604645
0.7,0.01,SPX,141,0.4000000059604645
0.7,0.01,SPX,142,0.4000000059604645
0.7,0.01,SPX,143,0.4000000059604645
0.7,0.01,SPX,144,0.4000000059604645
0.7,0.01,SPX,145,0.4000000059604645
0.7,0.01,SPX,146,0.4000000059604645
0.7,0.01,SPX,147,0.6000000238418579
0.7,0.01,SPX,148,0.6000000238418579
0.7,0.01,SPX,149,0.6000000238418579
0.7,0.01,SPX,150,0.6000000238418579
0.7,0.01,SPX,151,0.6000000238418579
0.7,0.01,SPX,152,0.6000000238418579
0.7,0.01,SPX,153,0.6000000238418579
0.7,0.01,SPX,154,0.6000000238418579
0.7,0.01,SPX,155,0.6000000238418579
0.7,0.01,SPX,156,0.6000000238418579
0.7,0.01,SPX,157,0.4000000059604645
0.7,0.01,SPX,158,0.4000000059604645
0.7,0.01,SPX,159,0.6000000238418579
0.7,0.01,SPX,160,0.4000000059604645
0.7,0.01,SPX,161,0.4000000059604645
0.7,0.01,SPX,162,0.6000000238418579
0.7,0.01,SPX,163,0.6000000238418579
0.7,0.01,CMC200,1,0.4000000059604645
0.7,0.01,CMC200,2,0.4000000059604645
0.7,0.01,CMC200,3,0.4000000059604645
0.7,0.01,CMC200,4,0.4000000059604645
0.7,0.01,CMC200,5,0.4000000059604645
0.7,0.01,CMC200,6,0.4000000059604645
0.7,0.01,CMC200,7,0.4000000059604645
0.7,0.01,CMC200,8,0.4000000059604645
0.7,0.01,CMC200,9,0.4000000059604645
0.7,0.01,CMC200,10,0.4000000059604645
0.7,0.01,CMC200,11,0.4000000059604645
0.7,0.01,CMC200,12,0.4000000059604645
0.7,0.01,CMC200,13,0.4000000059604645
0.7,0.01,CMC200,14,0.4000000059604645
0.7,0.01,CMC200,15,0.4000000059604645
0.7,0.01,CMC200,16,0.4000000059604645
0.7,0.01,CMC200,17,0.4000000059604645
0.7,0.01,CMC200,18,0.4000000059604645
0.7,0.01,CMC200,19,0.4000000059604645
0.7,0.01,CMC200,20,0.4000000059604645
0.7,0.01,CMC200,21,0.4000000059604645
0.7,0.01,CMC200,22,0.4000000059604645
0.7,0.01,CMC200,23,0.4000000059604645
0.7,0.01,CMC200,24,0.4000000059604645
0.7,0.01,CMC200,25,0.4000000059604645
0.7,0.01,CMC200,26,0.4000000059604645
0.7,0.01,CMC200,27,0.4000000059604645
0.7,0.01,CMC200,28,0.4000000059604645
0.7,0.01,CMC200,29,0.4000000059604645
0.7,0.01,CMC200,30,0.4000000059604645
0.7,0.01,CMC200,31,0.4000000059604645
0.7,0.01,CMC200,32,0.4000000059604645
0.7,0.01,CMC200,33,0.4000000059604645
0.7,0.01,CMC200,34,0.4000000059604645
0.7,0.01,CMC200,35,0.4000000059604645
0.7,0.01,CMC200,36,0.4000000059604645
0.7,0.01,CMC200,37,0.4000000059604645
0.7,0.01,CMC200,38,0.4000000059604645
0.7,0.01,CMC200,39,0.4000000059604645
0.7,0.01,CMC200,40,0.4000000059604645
0.7,0.01,CMC200,41,0.4000000059604645
0.7,0.01,CMC200,42,0.4000000059604645
0.7,0.01,CMC200,43,0.4000000059604645
0.7,0.01,CMC200,44,0.4000000059604645
0.7,0.01,CMC200,45,0.4000000059604645
0.7,0.01,CMC200,46,0.4000000059604645
0.7,0.01,CMC200,47,0.4000000059604645
0.7,0.01,CMC200,48,0.4000000059604645
0.7,0.01,CMC200,49,0.4000000059604645
0.7,0.01,CMC200,50,0.4000000059604645
0.7,0.01,CMC200,51,0.4000000059604645
0.7,0.01,CMC200,52,0.4000000059604645
0.7,0.01,CMC200,53,0.4000000059604645
0.7,0.01,CMC200,54,0.4000000059604645
0.7,0.01,CMC200,55,0.4000000059604645
0.7,0.01,CMC200,56,0.4000000059604645
0.7,0.01,CMC200,57,0.4000000059604645
0.7,0.01,CMC200,58,0.4000000059604645
0.7,0.01,CMC200,59,0.4000000059604645
0.7,0.01,CMC200,60,0.4000000059604645
0.7,0.01,CMC200,61,0.4000000059604645
0.7,0.01,CMC200,62,0.4000000059604645
0.7,0.01,CMC200,63,0.4000000059604645
0.7,0.01,CMC200,64,0.4000000059604645
0.7,0.01,CMC200,65,0.4000000059604645
0.7,0.01,CMC200,66,0.4000000059604645
0.7,0.01,CMC200,67,0.4000000059604645
0.7,0.01,CMC200,68,0.4000000059604645
0.7,0.01,CMC200,69,0.4000000059604645
0.7,0.01,CMC200,70,0.4000000059604645
0.7,0.01,CMC200,71,0.4000000059604645
0.7,0.01,CMC200,72,0.4000000059604645
0.7,0.01,CMC200,73,0.6000000238418579
0.7,0.01,CMC200,74,0.4000000059604645
0.7,0.01,CMC200,75,0.4000000059604645
0.7,0.01,CMC200,76,0.4000000059604645
0.7,0.01,CMC200,77,0.6000000238418579
0.7,0.01,CMC200,78,0.4000000059604645
0.7,0.01,CMC200,79,0.4000000059604645
0.7,0.01,CMC200,80,0.6000000238418579
0.7,0.01,CMC200,81,0.4000000059604645
0.7,0.01,CMC200,82,0.6000000238418579
0.7,0.01,CMC200,83,0.4000000059604645
0.7,0.01,CMC200,84,0.4000000059604645
0.7,0.01,CMC200,85,0.4000000059604645
0.7,0.01,CMC200,86,0.4000000059604645
0.7,0.01,CMC200,87,0.4000000059604645
0.7,0.01,CMC200,88,0.4000000059604645
0.7,0.01,CMC200,89,0.4000000059604645
0.7,0.01,CMC200,90,0.4000000059604645
0.7,0.01,CMC200,91,0.4000000059604645
0.7,0.01,CMC200,92,0.4000000059604645
0.7,0.01,CMC200,93,0.4000000059604645
0.7,0.01,CMC200,94,0.4000000059604645
0.7,0.01,CMC200,95,0.4000000059604645
0.7,0.01,CMC200,96,0.6000000238418579
0.7,0.01,CMC200,97,0.4000000059604645
0.7,0.01,CMC200,98,0.4000000059604645
0.7,0.01,CMC200,99,0.4000000059604645
0.7,0.01,CMC200,100,0.4000000059604645
0.7,0.01,CMC200,101,0.4000000059604645
0.7,0.01,CMC200,102,0.4000000059604645
0.7,0.01,CMC200,103,0.4000000059604645
0.7,0.01,CMC200,104,0.4000000059604645
0.7,0.01,CMC200,105,0.4000000059604645
0.7,0.01,CMC200,106,0.4000000059604645
0.7,0.01,CMC200,107,0.6000000238418579
0.7,0.01,CMC200,108,0.6000000238418579
0.7,0.01,CMC200,109,0.4000000059604645
0.7,0.01,CMC200,110,0.4000000059604645
0.7,0.01,CMC200,111,0.4000000059604645
0.7,0.01,CMC200,112,0.6000000238418579
0.7,0.01,CMC200,113,0.4000000059604645
0.7,0.01,CMC200,114,0.4000000059604645
0.7,0.01,CMC200,115,0.4000000059604645
0.7,0.01,CMC200,116,0.4000000059604645
0.7,0.01,CMC200,117,0.4000000059604645
0.7,0.01,CMC200,118,0.4000000059604645
0.7,0.01,CMC200,119,0.4000000059604645
0.7,0.01,CMC200,120,0.4000000059604645
0.7,0.01,CMC200,121,0.4000000059604645
0.7,0.01,CMC200,122,0.4000000059604645
0.7,0.01,CMC200,123,0.4000000059604645
0.7,0.01,CMC200,124,0.4000000059604645
0.7,0.01,CMC200,125,0.4000000059604645
0.7,0.01,CMC200,126,0.4000000059604645
0.7,0.01,CMC200,127,0.4000000059604645
0.7,0.01,CMC200,128,0.4000000059604645
0.7,0.01,CMC200,129,0.4000000059604645
0.7,0.01,CMC200,130,0.6000000238418579
0.7,0.01,CMC200,131,0.4000000059604645
0.7,0.01,CMC200,132,0.4000000059604645
0.7,0.01,CMC200,133,0.4000000059604645
0.7,0.01,CMC200,134,0.4000000059604645
0.7,0.01,CMC200,135,0.4000000059604645
0.7,0.01,CMC200,136,0.4000000059604645
0.7,0.01,CMC200,137,0.4000000059604645
0.7,0.01,CMC200,138,0.4000000059604645
0.7,0.01,CMC200,139,0.4000000059604645
0.7,0.01,CMC200,140,0.4000000059604645
0.7,0.01,CMC200,141,0.4000000059604645
0.7,0.01,CMC200,142,0.4000000059604645
0.7,0.01,CMC200,143,0.4000000059604645
0.7,0.01,CMC200,144,0.4000000059604645
0.7,0.01,CMC200,145,0.4000000059604645
0.7,0.01,CMC200,146,0.4000000059604645
0.7,0.01,CMC200,147,0.4000000059604645
0.7,0.01,CMC200,148,0.4000000059604645
0.7,0.01,CMC200,149,0.4000000059604645
0.7,0.01,CMC200,150,0.4000000059604645
0.7,0.01,CMC200,151,0.4000000059604645
0.7,0.01,CMC200,152,0.4000000059604645
0.7,0.01,CMC200,153,0.4000000059604645
0.7,0.01,CMC200,154,0.6000000238418579
0.7,0.01,CMC200,155,0.4000000059604645
0.7,0.01,CMC200,156,0.4000000059604645
0.7,0.01,CMC200,157,0.4000000059604645
0.7,0.01,CMC200,158,0.4000000059604645
0.7,0.01,CMC200,159,0.4000000059604645
0.7,0.01,CMC200,160,0.4000000059604645
0.7,0.01,CMC200,161,0.4000000059604645
0.7,0.01,CMC200,162,0.4000000059604645
0.7,0.01,CMC200,163,0.6000000238418579
